trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
41,False,"{'a': 0.5, 'e': 0.6636502501363194}",25,0,-144.54654798100776,"{0: 15, 1: 2, 2: 4, 3: 2, 4: 2}",0
42,False,"{'a': 0.5, 'e': 0.6570468198150567}",20,0,-58.75009144668152,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
43,False,"{'a': 0.5, 'e': 0.6505090947233165}",30,21,11.119910237624573,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
44,False,"{'a': 0.5, 'e': 0.6440364210831414}",20,0,-86.5699079164154,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
45,False,"{'a': 0.5, 'e': 0.6376281516217733}",25,7,-75.16201106773315,"{0: 13, 1: 3, 2: 0, 3: 0, 4: 2}",1
46,False,"{'a': 0.5, 'e': 0.631283645506926}",25,13,-35.81445789042108,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
47,False,"{'a': 0.5, 'e': 0.6250022682827008}",25,11,-20.921608171795288,"{0: 11, 1: 0, 2: 2, 3: 1, 4: 0}",1
48,False,"{'a': 0.5, 'e': 0.6187833918061408}",30,0,-17.534098615935843,"{0: 25, 1: 2, 2: 2, 3: 1, 4: 0}",0
49,False,"{'a': 0.5, 'e': 0.6126263941844161}",30,0,-90.07441676620171,"{0: 21, 1: 4, 2: 3, 3: 1, 4: 1}",0
50,False,"{'a': 0.5, 'e': 0.6065306597126334}",30,0,-113.07362268560897,"{0: 19, 1: 3, 2: 6, 3: 1, 4: 1}",0
51,False,"{'a': 0.5, 'e': 0.6004955788122659}",20,0,-49.59483054202547,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
52,False,"{'a': 0.5, 'e': 0.5945205479701944}",20,0,-78.17864544401615,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
